player_display_name,position,team,games_played,ppr_per_game,ppr_std_dev,target_share_pct,yards_per_carry,yards_per_reception,ppr_change_24_to_25,career_avg_ppr,career_games_played,composite_score,position_rank,tier,vorp
Russell Wilson,QB,NYG,6,8.306666666666667,11.513926639798722,0.0,5.888888888888889,NaN,-7.40060606060606,13.713535353535354,32,2.6323068565452323,56,5,-10.40265726930847
Trey Lance,QB,LAC,4,3.385,3.4144936178980725,0.0,5.0,NaN,,3.285,8,2.360651914630578,57,5,-10.674312211223125
Chris Oladokun,QB,KC,3,3.733333333333334,4.864990578956277,0.0,3.6,NaN,,2.116666666666667,4,2.273836159646451,58,5,-10.761127966207251
Tanner McKee,QB,PHI,4,3.4400000000000004,5.780357543728012,0.0,1.0,NaN,,8.925,6,1.7058927368815968,59,5,-11.329071388972107
Andy Dalton,QB,CAR,4,2.38,2.7895519353473244,0.0,-0.4,NaN,,8.008888888888889,12,1.5431344193958028,60,5,-11.4918297064579
Mason Rudolph,QB,PIT,5,3.0,4.917377349766845,0.0,0.8571428571428571,NaN,,8.288333333333334,17,1.5247867950699465,61,5,-11.510177330783756
Joe Milton III,QB,DAL,4,2.58,3.716378165185382,0.0,10.0,NaN,,10.91,5,1.4650865504443855,62,5,-11.569877575409318
Tyson Bagent,QB,CHI,2,1.29,0.6929646455628167,0.0,3.5,NaN,,3.959,11,1.082110606331155,63,5,-11.952853519522549
Brandon Allen,QB,TEN,1,0.8799999999999999,,0.0,NaN,NaN,,1.5000000000000002,4,0.8799999999999999,64,5,-12.154964125853702
Anthony Richardson,QB,IND,2,1.0799999999999998,1.668772003600252,0.1890359168241966,-0.25,9.0,,11.366969696969697,17,0.5793683989199243,65,5,-12.45559572693378
Teddy Bridgewater,QB,TB,3,0.96,1.83597385602301,0.0,1.3333333333333333,NaN,,0.38,4,0.409207843193097,66,5,-12.625756282660607
Joshua Dobbs,QB,NE,4,0.525,0.5978572850884509,0.0,-0.5,NaN,,11.68375,19,0.3456428144734648,67,5,-12.689321311380239
Kenny Pickett,QB,LV,6,1.2866666666666668,3.68123167793969,0.0,4.4,NaN,,5.166,23,0.18229716328475987,68,5,-12.852666962568943
Zach Wilson,QB,MIA,4,0.34500000000000003,0.828713862962764,0.0,0.3333333333333333,NaN,,5.17,16,0.09638584111117085,69,5,-12.938578284742531
Brett Rypien,QB,CIN,1,0.0,,0.0,NaN,NaN,,1.195,3,0.0,70,5,-13.034964125853703
Cooper Rush,QB,BAL,4,0.43000000000000005,1.4545102268461367,0.0,-1.0,NaN,,3.3419047619047624,23,-0.006353068053840949,71,5,-13.041317193907544
Max Brosmer,QB,MIN,7,0.602857142857143,2.0388699017324465,0.0,1.5714285714285714,NaN,,0.602857142857143,7,-0.008803827662590913,72,5,-13.043767953516294
Kedon Slovis,QB,ARI,2,-0.04,0.0565685424949238,0.0,NaN,NaN,,-0.04,2,-0.056970562748477144,73,5,-13.09193468860218
Jarrett Stidham,QB,DEN,1,-0.1,,0.0,-1.0,NaN,,4.49,5,-0.1,74,5,-13.134964125853703
Adrian Martinez,QB,SF,1,-0.1,,0.0,-1.0,NaN,,-0.1,1,-0.1,75,5,-13.134964125853703
Drew Lock,QB,SEA,3,0.033333333333333326,0.4509249752822894,0.0,-0.8333333333333334,NaN,,6.253968253968253,14,-0.1019441592513535,76,5,-13.136908285105056
Nick Mullens,QB,JAX,4,-0.010000000000000009,0.32843061164676274,0.0,-0.6666666666666666,NaN,,4.556000000000001,13,-0.10852918349402883,77,5,-13.143493309347733
Clayton Tune,QB,GB,2,0.9900000000000001,3.7759502115361636,0.0,4.6,NaN,,0.6068888888888889,13,-0.14278506346084885,78,5,-13.177749189314552
Kyle Allen,QB,DET,2,-0.15000000000000002,0.07071067811865477,0.0,-1.0,NaN,,0.1311111111111111,9,-0.17121320343559646,79,5,-13.2061773292893
Jimmy Garoppolo,QB,LA,3,-0.3333333333333333,0.05773502691896256,0.0,-1.1111111111111112,NaN,,9.56126984126984,11,-0.35065384140902206,80,5,-13.385617967262725
Gardner Minshew,QB,KC,4,-0.08000000000000007,1.059685487931836,0.0,0.3333333333333333,NaN,,7.2715000000000005,30,-0.3979056463795509,81,5,-13.432869772233254
Jalen Milroe,QB,SEA,3,-0.5333333333333333,1.274100990241093,0.0,1.3333333333333333,NaN,,-0.5333333333333333,3,-0.9155636304056611,82,5,-13.950527756259364
Christian McCaffrey,RB,SF,17,24.50588235294118,8.22446583282429,24.760076775431862,3.864951768488746,9.058823529411764,12.555882352941177,20.304044117647063,37,25.805307308976243,1,1,17.26947287042434
Bijan Robinson,RB,ATL,17,21.811764705882354,10.258404015302597,19.884169884169882,5.149825783972125,10.379746835443038,1.7117647058823557,18.8,51,19.24777291305628,2,1,10.711938474504379
De'Von Achane,RB,MIA,16,20.175,7.015364091288015,18.8470066518847,5.6722689075630255,7.2835820895522385,2.533823529411766,18.384180035650626,44,18.830537831437127,3,1,10.294703392885225
